"","FashionA","FashionB","BooksToys","Hillstrom"
"2Model_Ridge","Decile: 10 | Profit: 9087.09","Decile: 7 | Profit: 11946.40","Decile: 1 | Profit: 10245.88","Decile: 10 | Profit: 2143.41"
"2Model_Ridge_60","Decile: 10 | Profit: 7688.74","Decile: 9 | Profit: 8818.68","Decile: 1 | Profit: 10014.14",NA
"causalTree","Decile: 8 | Profit: 10701.74","Decile: 6 | Profit: 10436.01","Decile: 2 | Profit: 2465.96","Decile: 10 | Profit: 2200.20"
"causalTree_large","Decile: 10 | Profit: 10279.68","Decile: 9 | Profit: 8405.79",NA,NA
"causalForest","Decile: 9 | Profit: 13220.91","Decile: 6 | Profit: 9652.96","Decile: 1 | Profit: 6016.34","Decile: 9 | Profit: 3785.24"
"causalForest_60","Decile: 10 | Profit: 9436.24","Decile: 6 | Profit: 9428.16","Decile: 2 | Profit: -3294.72",NA
"causalBart","Decile: 10 | Profit: 6915.41","Decile: 8 | Profit: 2881.86","Decile: 1 | Profit: 50223.90","Decile: 10 | Profit: 1837.80"
"causalBart_60","Decile: 10 | Profit: 1947.59","Decile: 8 | Profit: 10036.18","Decile: 1 | Profit: 13215.46",NA
"causalBoosting","Decile: 10 | Profit: 9074.21","Decile: 8 | Profit: 16851.08","Decile: 2 | Profit: 1664.98","Decile: 10 | Profit: 4100.19"
"ensemble","Decile: 10 | Profit: 8125.00","Decile: 9 | Profit: 10872.10","Decile: 1 | Profit: 23792.02","Decile: 10 | Profit: 3063.59"
