"";"FashionA";"FashionB";"BooksToys";"Hillstrom"
"2Model_Ridge";0,0659375951439232;-0,0300386409204447;0,361595175867851;0,232964764246984
"2Model_Ridge_60";0,0768495047966249;0,047942761863389;-0,206280688573514;NA
"causalTree";0,0723253832363857;0,0254961325951303;0,194784396202356;-0,00029653815921965
"causalTree_large";0,0376230885617202;0,0739243543095445;NA;NA
"causalForest";0,0360989111969389;-0,00453220598276244;0,206892422888259;0,00450668676424848
"causalForest_60";0,0946874521999493;-0,00211221111607351;0,044184933364505;NA
"causalBart";0,10565059964916;-0,0201638663061951;0,394776139658512;0,223558106698822
"causalBart_60";0,100366684104785;0,121812728839581;0,234083326174034;NA
"causalBoosting";-0,0217033670376821;-0,0410354142533638;0,111197447331332;0,0866977257895745
"ensemble";0,140578683683377;0,073392538517126;0,605012669567072;0,2145544843485
